Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Measure Start Date,Measure End Date,Year,Infection,Measure,Number of Measure Days
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,GENESEE,8106065000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.014,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
230269,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,OAKLAND,2489648800,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.615,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,SAINT LOUIS,3145696000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,better,0.006,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,3147473000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.337,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
260141,UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,BOONE,5738824141,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.126,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
280013,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,DOUGLAS,4025522040,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.028,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
310034,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,MONMOUTH,7327412700,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.215,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,MIDDLESEX,7329378900,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.694,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,ESSEX,9734296000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.687,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.064,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.026,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.109,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,3367162011,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.267,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TWNSHP PRKWY BOX 3310,MATTHEWS,NC,28106,MECKLENBURG,7043846500,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.325,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,9372088000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.196,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,PHILADELPHIA,2156623227,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.121,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,6104472000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.042,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
420086,PALMETTO HEALTH BAPTIST,TAYLOR AT MARION ST,COLUMBIA,SC,29220,RICHLAND,8032965678,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.017,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,DAVIDSON,6152222111,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.031,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL ST PAUL,6201 HARRY HINES BLVD,DALLAS,TX,75390,DALLAS,2146335555,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.019,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450324,TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,TX,75020,GRAYSON,9034164000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.028,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
460006,LDS HOSPITAL,8TH AVENUE AND C STREET,SALT LAKE CITY,UT,84143,SALT LAKE,8014081100,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.871,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
490009,UNIVERSITY OF VIRGINIA MEDICAL CENTER,JEFFERSON PARK AVE,CHARLOTTESVILLE,VA,22908,CHARLOTTESVILLE CITY,8002513627,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.316,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
500129,TACOMA GENERAL ALLENMORE HOSPITAL,315 S MLK JR WAY,TACOMA,WA,98415,PIERCE,2534031000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.316,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MEDICAL CENTER DRIVE,MORGANTOWN,WV,26506,MONONGALIA,3045984000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.654,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
520037,MINISTRY SAINT JOSEPHS HOSPITAL,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WOOD,7153877850,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.149,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,COOK,3129425000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.189,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330162,NORTHERN WESTCHESTER HOSPITAL,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,WESTCHESTER,9146661200,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.81,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,7146339111,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.016,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
60028,SAINT JOSEPH HOSPITAL,1375 EAST 19TH AVE,DENVER,CO,80218,DENVER,3038122000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.792,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
460004,MCKAY DEE HOSPITAL,4401 HARRISON BOULEVARD,OGDEN,UT,84403,WEBER,8013872800,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.028,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
150056,INDIANA UNIVERSITY HEALTH,1701 N SENATE BLVD,INDIANAPOLIS,IN,46202,MARION,3179625900,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.019,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,750 EAST ADAMS STREET,SYRACUSE,NY,13210,ONONDAGA,3154734240,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.739,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450028,"VHS BROWNSVILLE HOSPITAL COMPANY, LLC",1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,CAMERON,9565441400,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.03,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,BERGEN,2019962000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.179,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
520139,AURORA WEST ALLIS MEDICAL CENTER,8901 W LINCOLN AVE,WEST ALLIS,WI,53227,MILWAUKEE,4143286000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.43,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450869,DOCTORS HOSPITAL AT RENAISSANCE,5501 SOUTH MCCOLL,EDINBURG,TX,78539,HIDALGO,9563628677,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.457,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
100044,MARTIN MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,FL,34995,MARTIN,7722875200,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.29,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.025,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,60453,COOK,7086848000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.193,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
60009,LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,80033,JEFFERSON,3034254500,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.568,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
310032,INSPIRA MEDICAL CENTER VINELAND,1505 W SHERMAN AVE,VINELAND,NJ,8360,CUMBERLAND,8566416610,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.286,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450647,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,DALLAS,TX,75230,DALLAS,9725666222,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.3,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
190236,WILLIS KNIGHTON BOSSIER HEALTH CENTER,2400 HOSPITAL DR,BOSSIER CITY,LA,71111,BOSSIER,3182127004,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.044,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,5594596000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.402,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
310076,SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,LIVINGSTON,NJ,7039,ESSEX,9733225000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.561,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450068,MEMORIAL HERMANN TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,HARRIS,7137043700,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.247,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,3440 E LA PALMA AVE,ANAHEIM,CA,92806,ORANGE,7142794000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.023,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,SCIOTO,7403565000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.162,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,2115,SUFFOLK,6177325500,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.085,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50376,LAC/HARBOR-UCLA MED CENTER,1000 W CARSON ST,TORRANCE,CA,90509,LOS ANGELES,3102222101,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.519,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
340091,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,GREENSBORO,NC,27401,GUILFORD,3368327000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.02,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
260108,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,TOWN AND COUNTRY,MO,63131,SAINT LOUIS,3149965000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.091,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450718,ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVE,ROUND ROCK,TX,78681,WILLIAMSON,5123411000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.032,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450054,SCOTT & WHITE MEMORIAL HOSPITAL,2401 31ST ST,TEMPLE,TX,76508,BELL,2547242111,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.014,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
100032,BAYFRONT HEALTH - ST PETERSBURG,701 6TH ST S,SAINT PETERSBURG,FL,33701,PINELLAS,7278231234,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.016,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.026,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
180067,UNIVERSITY OF KENTUCKY HOSPITAL,800 ROSE STREET,LEXINGTON,KY,40536,FAYETTE,8593235211,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.395,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
370008,NORMAN REGIONAL HOSPITAL AUTHORITY,901 NORTH PORTER,NORMAN,OK,73070,CLEVELAND,4053211700,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.01,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450040,COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,TX,79410,LUBBOCK,8067256000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.03,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,ROBESON,9106715000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.04,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
390107,UPMC PASSAVANT,9100 BABCOCK BOULEVARD,PITTSBURGH,PA,15237,ALLEGHENY,4123676700,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.02,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
190046,TOURO INFIRMARY,1401 FOUCHER STREET,NEW ORLEANS,LA,70115,ORLEANS,5048978247,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.548,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
190111,WILLIS KNIGHTON MEDICAL CENTER,2600 GREENWOOD ROAD,SHREVEPORT,LA,71103,CADDO,3182124000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.014,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,1250 EAST MARSHALL STREET - BOX 980510,RICHMOND,VA,23298,RICHMOND CITY,8048280938,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.311,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL,60451,WILL,8153001100,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.306,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,WAKE,9197843100,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.173,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
360234,MERCY HEALTH - WEST HOSPITAL,3300 MERCY HEALTH BLVD,CINCINNATI,OH,45211,HAMILTON,5132155000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.57,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
220100,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,MA,2190,NORFOLK,7813408000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.153,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
510024,MONONGALIA COUNTY GENERAL HOSPITAL,1200 JD ANDERSON DR,MORGANTOWN,WV,26505,MONONGALIA,3045981200,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.032,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,KNOX,8659709800,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.733,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
410010,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,PROVIDENCE,RI,2905,PROVIDENCE,4012741100,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.346,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330306,LUTHERAN MEDICAL CENTER,150 55TH STREET,BROOKLYN,NY,11220,KINGS,7186308000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.185,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50099,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,SAN BERNARDINO,7149852811,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.153,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
330353,FOREST HILLS HOSPITAL,102 - 01 66TH ROAD,FOREST HILLS,NY,11375,QUEENS,7188304000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.315,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
490136,BON SECOURS ST FRANCIS MEDICAL CENTER,13710 ST FRANCIS BOULEVARD,MIDLOTHIAN,VA,23114,CHESTERFIELD,8045947400,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.199,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,MARICOPA,4807288000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.262,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
360059,METROHEALTH SYSTEM,2500 METROHEALTH DRIVE,CLEVELAND,OH,44109,CUYAHOGA,2167787089,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.066,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,CA,95661,PLACER,9167844000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.049,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
390119,MOSES TAYLOR HOSPITAL,700 QUINCY AVENUE,SCRANTON,PA,18510,LACKAWANNA,5703402100,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.211,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,20016,DISTRICT OF COLUMBIA,2025374680,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.264,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
450289,HARRIS HEALTH SYSTEM,2525 HOLLY HALL,HOUSTON,TX,77054,HARRIS,7135666417,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.285,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
230230,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,INGHAM,5173641000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.023,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,KENT,3027447001,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.032,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
